ID,Dex,Time,Taker,Taker Address,Taker Amount,Taker Token,Maker,Maker Address,Maker Amount,Maker Token,Tx,Create TS
3,Uniswap,2h ago,🤓 Alameda: Elite Dex Trader,0x0f4ee9631f4be0a63756515141281a3e2b293bbe,6.1,WETH,🏦 🤖 Uniswap v2 Pool: WETH-ROOK,0xfa5047c9c78b8877af97bdcb85db743fd7313d4a,92,ROOK,,2021-06-25 00:11:16
4,Uniswap,4h ago,🤓 Alameda: Elite Dex Trader,0x0f4ee9631f4be0a63756515141281a3e2b293bbe,230,ROOK,🏦 🤖 Uniswap v2 Pool: WETH-ROOK,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,15,WETH,,2021-06-25 00:11:16
5,Uniswap,4h ago,🤓 Alameda: Elite Dex Trader,0x0f4ee9631f4be0a63756515141281a3e2b293bbe,242,ROOK,🏦 🤖 Uniswap v2 Pool: WETH-ROOK,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,16,WETH,,2021-06-25 00:11:16
6,SushiSwap,6h ago,🤓 Alameda: Elite Dex Trader,0x0f4ee9631f4be0a63756515141281a3e2b293bbe,5.06,WETH,🏦 🤖 Sushiswap Pool: COMP-WETH,0xc00e94cb662c3520282e6f5717214004a7f26888,40,COMP,,2021-06-25 00:11:16
7,Uniswap,7h ago,🤓 Alameda: Elite Dex Trader,0x0f4ee9631f4be0a63756515141281a3e2b293bbe,"71,561",USDT,🏦 🤖 Uniswap v2 Pool: WETH-USDT,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,35,WETH,,2021-06-25 00:11:16
8,Uniswap,7h ago,🤓 Alameda: Elite Dex Trader,0x0f4ee9631f4be0a63756515141281a3e2b293bbe,12,WETH,🏦 🤖 Uniswap v3 Pool: MATIC-WETH,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,"19,330",MATIC,,2021-06-25 00:11:16
9,SushiSwap,7h ago,🤓 Alameda: Elite Dex Trader,0x0f4ee9631f4be0a63756515141281a3e2b293bbe,"155,797",USDT,🏦 🤖 Sushiswap Pool: WETH-USDT,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,77,WETH,,2021-06-25 00:11:16
10,Uniswap,7h ago,🤓 Alameda: Elite Dex Trader,0x0f4ee9631f4be0a63756515141281a3e2b293bbe,"57,521",USDT,🏦 🤖 Uniswap v2 Pool: WETH-USDT,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,29,WETH,,2021-06-25 00:11:16
11,Uniswap,7h ago,🤓 Alameda: Elite Dex Trader,0x0f4ee9631f4be0a63756515141281a3e2b293bbe,"162,917",USDT,🏦 🤖 Uniswap v2 Pool: WETH-USDT,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,81,WETH,,2021-06-25 00:11:16
12,Uniswap,9h ago,🤓 Alameda: Elite Dex Trader,0x0f4ee9631f4be0a63756515141281a3e2b293bbe,"17,559",DAI,🏦 🤖 Uniswap v3 Pool: DAI-WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,8.83,WETH,,2021-06-25 00:11:16
13,Uniswap,9h ago,🤓 Alameda: Elite Dex Trader,0x0f4ee9631f4be0a63756515141281a3e2b293bbe,"170,660",USDT,🏦 🤖 Uniswap v2 Pool: WETH-USDT,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,86,WETH,,2021-06-25 00:11:16
14,Uniswap,9h ago,🤓 Digital Asset Capital Management: Fund Manager,0x6fac2bcca1f5397bf2bc96aa4ae8f35728882761,.1007,WETH,🏦 🤖 Uniswap v2 Pool: PMON-WETH,0x1796ae0b0fa4862485106a0de9b654efe301d0b2,50,PMON,,2021-06-25 00:11:16
15,Uniswap,13h ago,🤓 Alameda: Compound,0x7578e676b3706aa65a4d7b9bd621922a305552db,.001,WETH,🏦 🤖 Uniswap v3 Pool: DAI-WETH,0x6b175474e89094c44da98b954eedeac495271d0f,1.94,DAI,,2021-06-25 00:11:16
16,Uniswap,13h ago,🤓 Alameda: Elite Dex Trader,0x0f4ee9631f4be0a63756515141281a3e2b293bbe,13,WETH,🏦 🤖 Uniswap v3 Pool: MATIC-WETH,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,"21,939",MATIC,,2021-06-25 00:11:16
17,Uniswap,15h ago,🤓 Alameda: Elite Dex Trader,0x0f4ee9631f4be0a63756515141281a3e2b293bbe,"44,580",USDC,🏦 🤖 Uniswap v3 Pool: USDC-WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,23,WETH,,2021-06-25 00:11:16
18,Uniswap,17h ago,🤓 Alameda: Elite Dex Trader,0x0f4ee9631f4be0a63756515141281a3e2b293bbe,"32,113",USDT,🏦 🤖 Uniswap v3 Pool: WETH-USDT,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,17,WETH,,2021-06-25 00:11:16
19,SushiSwap,20h ago,🤓 Alameda: Elite Dex Trader,0x0f4ee9631f4be0a63756515141281a3e2b293bbe,"7,049",SRM,🏦 🤖 Sushiswap Pool: SRM-WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10,WETH,,2021-06-25 00:11:16
20,Uniswap,20h ago,🤓 Alameda: Elite Dex Trader,0x0f4ee9631f4be0a63756515141281a3e2b293bbe,6.56,WETH,🏦 🤖 Uniswap v3 Pool: MATIC-WETH,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,"10,661",MATIC,,2021-06-25 00:11:16
21,SushiSwap,20h ago,🤓 Alameda: Elite Dex Trader,0x0f4ee9631f4be0a63756515141281a3e2b293bbe,6.3,WETH,🏦 🤖 Sushiswap Pool: COMP-WETH,0xc00e94cb662c3520282e6f5717214004a7f26888,52,COMP,,2021-06-25 00:11:16
22,Uniswap,21h ago,🤓 Alameda: Elite Dex Trader,0x0f4ee9631f4be0a63756515141281a3e2b293bbe,13,WETH,🏦 🤖 Uniswap v3 Pool: MATIC-WETH,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,"22,236",MATIC,,2021-06-25 00:11:16
23,0x,22h ago,OpenSea User,0x79ec99e7e395088fd73ccb8321bf528cabebc37f,.2514,WETH,🤓 🤖 Wintermute,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,475,USDC,,2021-06-25 00:11:16
24,Uniswap,23h ago,🤓 Alameda: Elite Dex Trader,0x0f4ee9631f4be0a63756515141281a3e2b293bbe,14,WETH,🏦 🤖 Uniswap v3 Pool: MATIC-WETH,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,"22,699",MATIC,,2021-06-25 00:11:16
